time,yaw,pitch,roll
45.329,99.27,15.25,-24.94
45.428,100.24,13.81,-25.54
45.528,100.3,12.05,-23.95
45.627,99.89,10.79,-23.17
45.726,98.97,7.84,-25.67
45.826,97.23,5.01,-27.36
45.926,99.22,4.64,-29.11
46.025,99.18,5.91,-30.61
46.124,97.26,7.89,-32.31
46.224,96.42,10.15,-34.39
46.323,98.45,12.28,-33.25
46.423,98.49,15.66,-29.65
46.522,96.91,17.47,-26.28
46.621,97.31,21.74,-26.98
46.721,96.4,22.95,-25.27
46.82,94.52,24.62,-20.36
46.919,90.43,25.1,-14.41
47.019,87.46,23,-12.19
47.118,85.49,22.23,-11.3
